Country,Year,Population,Food supply kcal per capita per day,FoodSupplyperyear
Albania,Y2011,2928601,3237.4409999999998,3460628126764.9702
Albania,Y2012,2914091,3287.8971999999999,3497149548397.5
Albania,Y2013,2903788,3293.2404999999999,3490448369430.1099
Albania,Y2014,2896307,3265.6538,3452292625588.5601
Albania,Y2015,2890524,3280.54,3461105055080.3999
Albania,Y2016,2886427,3321.5084999999999,3499361512522.27
Albania,Y2017,2884169,3325.8051999999998,3501147254125.7598
Albania,Y2018,2882735,3296.3029999999999,3468364330477.3301
Albania,Y2019,2880913,3338.1008000000002,3510123966361.1001
Algeria,Y1961,11336336,1651.0853999999999,6831799483569.46
Algeria,Y1962,11619828,1599.4045000000001,6783453895235.4902
Algeria,Y1963,11912800,1556.6288,6768489762553.5996
Algeria,Y1964,12221675,1567.8882000000001,6994210306108.2803
Algeria,Y1965,12550880,1618.9032999999999,7416311283214.96
Algeria,Y1966,12902626,1597.8323,7524924890831.2305
Algeria,Y1967,13275020,1674.5405000000001,8113788899333.1504
Algeria,Y1968,13663581,1733.8955000000001,8647295887571.71
Algeria,Y1969,14061724,1732.3150000000001,8891157425036.9004
Algeria,Y1970,14464992,1701.171,8981710090555.6797
Algeria,Y1971,14872253,1746.1079999999999,9478524378583.2598
Algeria,Y1972,15285992,1876.338,10468815994913
Algeria,Y1973,15709831,1877.6482000000001,10766600603300.801
Algeria,Y1974,16149018,2011.7632000000001,11858120046916.199
Algeria,Y1975,16607705,2086.0419999999999,12645195106067.699
Algeria,Y1976,17085798,2073.9807000000001,12933999583076
Algeria,Y1977,17582898,2237.4059999999999,14359129741144.6
Algeria,Y1978,18102266,2373.6179999999999,15683270512711.6
Algeria,Y1979,18647800,2476.1003000000001,16853445458634.1
Algeria,Y1980,19221658,2599.8200000000002,18240090579069.398
Algeria,Y1981,19824296,2633.6414,19056681635080.898
Algeria,Y1982,20452900,2609.4679999999998,19480483640878
Algeria,Y1983,21101876,2595.4805000000001,19990870300067.602
Algeria,Y1984,21763578,2544.3887,20211875706190.5
Algeria,Y1985,22431508,2661.4000000000001,21790213617788
Algeria,Y1986,23102386,2676.6480000000001,22570488677976.699
Algeria,Y1987,23774288,2680.989,23264590682953.699
Algeria,Y1988,24443472,2746.9043000000001,24507515595461.301
Algeria,Y1989,25106192,2811.7573000000002,25766269300388.602
Algeria,Y1990,25758872,2805.4396999999999,26376711179646.699
Algeria,Y1991,26400468,2784.0907999999999,26827974527190.5
Algeria,Y1992,27028330,2918.7069999999999,28794038228798.199
Algeria,Y1993,27635518,2919.1662999999999,29445525582454.801
Algeria,Y1994,28213778,2815.8063999999999,28997255881111.398
Algeria,Y1995,28757788,2838.9621999999999,29799429676979
Algeria,Y1996,29266414,2839.0385999999999,30327294845796.801
Algeria,Y1997,29742980,2788.3179,30270502489669.801
Algeria,Y1998,30192750,2850.0034000000001,31408045656702.801
Algeria,Y1999,30623406,2903.5852,32454948978844.801
Algeria,Y2000,31042238,2873.3054000000002,32555747976822.102
Algeria,Y2001,31451514,2950.0933,33866488765083.5
Algeria,Y2002,31855110,2990.9182000000001,34775750315630.699
Algeria,Y2003,32264158,3038.0124999999998,35776904086680.898
Algeria,Y2004,32692152,3057.2478000000001,36481023569431.898
Algeria,Y2005,33149718,3030.3917999999999,36666671263822
Algeria,Y2006,33641010,3125.4362999999998,38377134345272
Algeria,Y2007,34166976,3123.7759999999998,38956442561802.203
Algeria,Y2008,34730604,3135.2692999999999,39744775719454.898
Algeria,Y2009,35333884,3202.3406,41300162920445
Algeria,Y2010,35977450,3249.9594999999999,42677718225845.398
Algeria,Y2011,36661436,3349.9602,44827238288319.203
Algeria,Y2012,37383900,3366.009,45929608507111.5
Algeria,Y2013,38140136,3435.9877999999999,47832900325014.398
Algeria,Y2014,38923690,3424.0273000000002,48645658669509
Algeria,Y2015,39728020,3416.9983000000002,49548960532863.602
Algeria,Y2016,40551400,3442.9659999999999,50960238380126
